account_id,type,amount,recipient_account,description,date
100137,TRANSFER,354.43,100097,Paiement event - 354.43 EUR,2024-08-30 13:42:04
100092,WITHDRAW,373.46,,Abonnement mensuel - 373.46 EUR,2024-08-30 15:09:53
100005,WITHDRAW,742.06,,Abonnement mensuel - 742.06 EUR,2024-08-30 17:38:02
100169,WITHDRAW,178.75,,Facture service - 178.75 EUR,2024-08-30 22:50:17
100154,WITHDRAW,554.88,,Retrait DAB - 554.88 EUR,2024-08-30 23:03:18
100004,TRANSFER,185.33,100011,Partage dépense - 185.33 EUR,2024-08-30 23:35:59
100119,TRANSFER,66.41,100107,Paiement event - 66.41 EUR,2024-08-31 00:31:46
100146,TRANSFER,413.68,100158,Paiement colocation - 413.68 EUR,2024-08-31 07:00:48
100181,TRANSFER,533.68,100172,Remboursement ami - 533.68 EUR,2024-08-31 11:07:00
100144,WITHDRAW,865.28,,Achat en ligne - 865.28 EUR,2024-08-31 11:27:06
100104,WITHDRAW,656.03,,Achat en ligne - 656.03 EUR,2024-08-31 14:50:56
100078,DEPOSIT,699.95,,Prime projet - 699.95 EUR,2024-08-31 18:06:36
100068,TRANSFER,781.09,100163,Virement loyer - 781.09 EUR,2024-08-31 18:13:37
100142,TRANSFER,790.2,100104,Partage dépense - 790.2 EUR,2024-08-31 19:18:48
100184,DEPOSIT,579.43,,Virement client - 579.43 EUR,2024-08-31 19:31:22
100152,TRANSFER,464.59,100060,Partage dépense - 464.59 EUR,2024-08-31 20:34:35
100117,WITHDRAW,575.76,,Facture service - 575.76 EUR,2024-08-31 22:04:11
100086,DEPOSIT,947.3,,Bonus performance - 947.3 EUR,2024-08-31 22:39:27
100160,TRANSFER,637.84,100133,Virement loyer - 637.84 EUR,2024-09-01 08:55:22
100175,TRANSFER,850.04,100082,Remboursement ami - 850.04 EUR,2024-09-01 15:45:42
100036,TRANSFER,499.84,100161,Paiement event - 499.84 EUR,2024-09-01 17:04:28
100064,WITHDRAW,397.6,,Retrait DAB - 397.6 EUR,2024-09-01 20:19:08
100136,DEPOSIT,548.13,,Dépôt salaire - 548.13 EUR,2024-09-01 21:59:24
100174,DEPOSIT,860.22,,Paiement freelance - 860.22 EUR,2024-09-01 23:19:58
100195,TRANSFER,828.92,100015,Cotisation club - 828.92 EUR,2024-09-02 00:01:06
100144,DEPOSIT,438.73,,Versement - 438.73 EUR,2024-09-02 01:35:57
100173,DEPOSIT,227.99,,Virement client - 227.99 EUR,2024-09-02 01:57:31
100197,WITHDRAW,80.88,,Abonnement mensuel - 80.88 EUR,2024-09-02 04:37:59
100046,WITHDRAW,902.25,,Abonnement mensuel - 902.25 EUR,2024-09-02 11:32:20
100026,WITHDRAW,940.75,,Facture service - 940.75 EUR,2024-09-02 11:36:58
100033,DEPOSIT,194.11,,Bonus performance - 194.11 EUR,2024-09-02 11:43:57
100038,DEPOSIT,394.56,,Paiement freelance - 394.56 EUR,2024-09-02 16:24:38
100134,WITHDRAW,628.93,,Retrait DAB - 628.93 EUR,2024-09-02 18:21:02
100054,DEPOSIT,184.06,,Bonus performance - 184.06 EUR,2024-09-02 21:16:18
100184,DEPOSIT,943.98,,Virement client - 943.98 EUR,2024-09-03 02:11:46
100015,WITHDRAW,979.02,,Achat en ligne - 979.02 EUR,2024-09-03 02:18:11
100095,DEPOSIT,688.42,,Versement - 688.42 EUR,2024-09-03 03:22:51
100061,WITHDRAW,981.17,,Facture service - 981.17 EUR,2024-09-03 05:00:45
100051,TRANSFER,157.92,100076,Remboursement ami - 157.92 EUR,2024-09-03 11:39:15
100073,TRANSFER,212.9,100142,Paiement event - 212.9 EUR,2024-09-03 12:42:14
100123,TRANSFER,589.37,100193,Paiement colocation - 589.37 EUR,2024-09-03 12:44:59
100168,DEPOSIT,409.9,,Dépôt salaire - 409.9 EUR,2024-09-03 13:07:55
100063,TRANSFER,262.44,100047,Remboursement ami - 262.44 EUR,2024-09-03 13:15:05
100104,WITHDRAW,707.87,,Retrait DAB - 707.87 EUR,2024-09-03 18:32:44
100176,TRANSFER,108.49,100173,Paiement event - 108.49 EUR,2024-09-03 19:37:01
100136,DEPOSIT,573.98,,Prime projet - 573.98 EUR,2024-09-03 19:41:02
100065,WITHDRAW,948.39,,Abonnement mensuel - 948.39 EUR,2024-09-03 19:54:37
100008,TRANSFER,782.7,100074,Remboursement ami - 782.7 EUR,2024-09-03 21:00:32
100075,WITHDRAW,647.23,,Paiement CB - 647.23 EUR,2024-09-03 22:28:04
100169,TRANSFER,223.34,100138,Virement loyer - 223.34 EUR,2024-09-03 22:31:08
100126,WITHDRAW,20.02,,Paiement CB - 20.02 EUR,2024-09-03 22:59:12
100105,WITHDRAW,683.06,,Retrait DAB - 683.06 EUR,2024-09-03 23:05:25
100131,WITHDRAW,765.23,,Paiement CB - 765.23 EUR,2024-09-03 23:27:05
100082,DEPOSIT,907.49,,Paiement freelance - 907.49 EUR,2024-09-03 23:31:26
100153,TRANSFER,42.7,100058,Paiement colocation - 42.7 EUR,2024-09-04 00:25:06
100010,TRANSFER,584.67,100013,Partage dépense - 584.67 EUR,2024-09-04 02:51:38
100156,DEPOSIT,127.09,,Versement - 127.09 EUR,2024-09-04 04:23:42
100079,DEPOSIT,246.39,,Versement - 246.39 EUR,2024-09-04 06:38:38
100152,WITHDRAW,666.43,,Abonnement mensuel - 666.43 EUR,2024-09-04 07:56:23
100120,DEPOSIT,677.61,,Remboursement - 677.61 EUR,2024-09-04 13:25:05
100195,DEPOSIT,860.89,,Dépôt salaire - 860.89 EUR,2024-09-04 19:33:50
100164,TRANSFER,771.85,100160,Paiement colocation - 771.85 EUR,2024-09-04 21:04:03
100048,WITHDRAW,985.51,,Paiement CB - 985.51 EUR,2024-09-05 04:24:19
100189,WITHDRAW,446.7,,Prélèvement - 446.7 EUR,2024-09-05 07:12:29
100051,DEPOSIT,821.75,,Remboursement - 821.75 EUR,2024-09-05 08:53:56
100077,DEPOSIT,474.17,,Virement client - 474.17 EUR,2024-09-05 09:55:18
100018,WITHDRAW,334.96,,Achat en ligne - 334.96 EUR,2024-09-05 11:10:42
100055,DEPOSIT,59.49,,Paiement freelance - 59.49 EUR,2024-09-05 12:23:22
100072,WITHDRAW,960.53,,Retrait DAB - 960.53 EUR,2024-09-05 12:43:18
100123,TRANSFER,767.23,100040,Paiement event - 767.23 EUR,2024-09-05 15:48:35
100001,TRANSFER,81.54,100103,Virement loyer - 81.54 EUR,2024-09-05 16:17:24
100036,DEPOSIT,647.17,,Versement - 647.17 EUR,2024-09-05 16:44:21
100039,TRANSFER,600.39,100007,Paiement colocation - 600.39 EUR,2024-09-05 18:33:51
100149,TRANSFER,983.7,100110,Paiement colocation - 983.7 EUR,2024-09-05 20:52:28
100164,TRANSFER,704.07,100170,Virement loyer - 704.07 EUR,2024-09-05 21:11:58
100027,DEPOSIT,624.79,,Prime projet - 624.79 EUR,2024-09-05 21:59:43
100142,WITHDRAW,533.7,,Paiement CB - 533.7 EUR,2024-09-05 22:46:20
100114,DEPOSIT,552.48,,Dépôt salaire - 552.48 EUR,2024-09-06 00:54:33
100134,WITHDRAW,788.06,,Retrait DAB - 788.06 EUR,2024-09-06 03:17:18
100106,TRANSFER,253.82,100073,Partage dépense - 253.82 EUR,2024-09-06 07:31:02
100156,DEPOSIT,838.92,,Bonus performance - 838.92 EUR,2024-09-06 08:52:33
100018,TRANSFER,390.81,100029,Remboursement ami - 390.81 EUR,2024-09-06 10:25:15
100091,TRANSFER,990.03,100061,Partage dépense - 990.03 EUR,2024-09-06 11:11:21
100056,TRANSFER,483.54,100042,Cotisation club - 483.54 EUR,2024-09-06 12:02:08
100033,WITHDRAW,145.34,,Paiement CB - 145.34 EUR,2024-09-06 12:41:43
100091,DEPOSIT,516.61,,Versement - 516.61 EUR,2024-09-06 18:39:40
100024,WITHDRAW,612.84,,Paiement CB - 612.84 EUR,2024-09-06 19:15:32
100057,DEPOSIT,873.93,,Dépôt salaire - 873.93 EUR,2024-09-06 19:18:55
100132,TRANSFER,141.05,100095,Paiement colocation - 141.05 EUR,2024-09-06 23:06:58
100073,TRANSFER,723.52,100016,Virement loyer - 723.52 EUR,2024-09-06 23:36:53
100120,DEPOSIT,314.11,,Versement - 314.11 EUR,2024-09-07 00:27:14
100126,TRANSFER,319.97,100079,Remboursement ami - 319.97 EUR,2024-09-07 04:47:12
100015,WITHDRAW,570.93,,Abonnement mensuel - 570.93 EUR,2024-09-07 04:58:24
100190,DEPOSIT,959.89,,Versement - 959.89 EUR,2024-09-07 05:28:31
100045,DEPOSIT,451.39,,Virement client - 451.39 EUR,2024-09-07 09:00:53
100171,TRANSFER,776.11,100108,Cotisation club - 776.11 EUR,2024-09-07 14:15:49
100127,DEPOSIT,291.54,,Prime projet - 291.54 EUR,2024-09-07 17:50:08
100006,TRANSFER,883.89,100144,Paiement event - 883.89 EUR,2024-09-07 20:23:37
100076,TRANSFER,423.01,100052,Paiement event - 423.01 EUR,2024-09-07 21:42:24
100139,DEPOSIT,491.64,,Bonus performance - 491.64 EUR,2024-09-07 22:38:58
100084,WITHDRAW,971.09,,Retrait DAB - 971.09 EUR,2024-09-07 23:31:39
100162,TRANSFER,615.15,100114,Partage dépense - 615.15 EUR,2024-09-07 23:49:17
100034,WITHDRAW,39.24,,Achat en ligne - 39.24 EUR,2024-09-08 05:00:53
100007,WITHDRAW,219.97,,Abonnement mensuel - 219.97 EUR,2024-09-08 06:40:17
100060,TRANSFER,739.44,100009,Paiement colocation - 739.44 EUR,2024-09-08 07:11:32
100029,TRANSFER,382.08,100030,Paiement event - 382.08 EUR,2024-09-08 10:01:46
100090,DEPOSIT,954.42,,Virement client - 954.42 EUR,2024-09-08 11:35:18
100019,WITHDRAW,450.66,,Abonnement mensuel - 450.66 EUR,2024-09-08 11:36:16
100181,WITHDRAW,359.97,,Achat en ligne - 359.97 EUR,2024-09-08 11:46:18
100076,TRANSFER,877.48,100114,Virement loyer - 877.48 EUR,2024-09-08 12:33:13
100146,DEPOSIT,573.68,,Dépôt salaire - 573.68 EUR,2024-09-08 13:12:25
100090,TRANSFER,933.84,100084,Paiement event - 933.84 EUR,2024-09-08 14:19:53
100109,DEPOSIT,967.76,,Prime projet - 967.76 EUR,2024-09-08 15:35:32
100160,WITHDRAW,953.7,,Achat en ligne - 953.7 EUR,2024-09-08 18:32:17
100152,WITHDRAW,425.02,,Paiement CB - 425.02 EUR,2024-09-08 18:58:43
100104,WITHDRAW,202.52,,Facture service - 202.52 EUR,2024-09-09 01:56:00
100038,WITHDRAW,138.1,,Prélèvement - 138.1 EUR,2024-09-09 03:33:26
100056,TRANSFER,334.76,100087,Cotisation club - 334.76 EUR,2024-09-09 09:52:48
100126,DEPOSIT,538.3,,Remboursement - 538.3 EUR,2024-09-09 11:55:32
100161,TRANSFER,914.9,100071,Remboursement ami - 914.9 EUR,2024-09-09 12:06:45
100026,DEPOSIT,436.5,,Versement - 436.5 EUR,2024-09-09 12:29:32
100194,WITHDRAW,255.75,,Paiement CB - 255.75 EUR,2024-09-09 18:20:34
100017,DEPOSIT,982.91,,Versement - 982.91 EUR,2024-09-09 18:30:05
100168,WITHDRAW,294.14,,Abonnement mensuel - 294.14 EUR,2024-09-09 19:39:21
100013,DEPOSIT,207.37,,Paiement freelance - 207.37 EUR,2024-09-09 20:21:59
100066,TRANSFER,957.68,100058,Remboursement ami - 957.68 EUR,2024-09-10 01:13:47
100062,WITHDRAW,595.94,,Abonnement mensuel - 595.94 EUR,2024-09-10 08:53:31
100101,WITHDRAW,423.59,,Achat en ligne - 423.59 EUR,2024-09-10 09:18:14
100123,WITHDRAW,608.69,,Paiement CB - 608.69 EUR,2024-09-10 09:38:35
100005,WITHDRAW,632.44,,Retrait DAB - 632.44 EUR,2024-09-10 14:52:21
100139,TRANSFER,457.26,100130,Remboursement ami - 457.26 EUR,2024-09-10 15:18:29
100054,DEPOSIT,952.8,,Prime projet - 952.8 EUR,2024-09-10 16:36:07
100046,DEPOSIT,34.7,,Remboursement - 34.7 EUR,2024-09-10 22:38:49
100057,TRANSFER,944.7,100165,Paiement colocation - 944.7 EUR,2024-09-10 23:12:27
100144,WITHDRAW,291.7,,Retrait DAB - 291.7 EUR,2024-09-11 05:18:32
100092,TRANSFER,309.1,100015,Paiement event - 309.1 EUR,2024-09-11 08:02:47
100091,WITHDRAW,263.21,,Facture service - 263.21 EUR,2024-09-11 10:25:04
100048,DEPOSIT,918.51,,Bonus performance - 918.51 EUR,2024-09-11 10:46:30
100016,WITHDRAW,695.56,,Retrait DAB - 695.56 EUR,2024-09-11 11:12:19
100021,TRANSFER,254.16,100078,Paiement event - 254.16 EUR,2024-09-11 15:07:04
100135,DEPOSIT,477.14,,Bonus performance - 477.14 EUR,2024-09-11 15:08:33
100086,DEPOSIT,259.1,,Prime projet - 259.1 EUR,2024-09-11 17:14:06
100082,DEPOSIT,725.27,,Bonus performance - 725.27 EUR,2024-09-11 18:07:35
100184,TRANSFER,32.56,100039,Partage dépense - 32.56 EUR,2024-09-11 18:24:31
100164,WITHDRAW,470.98,,Paiement CB - 470.98 EUR,2024-09-11 18:46:42
100116,WITHDRAW,987.01,,Prélèvement - 987.01 EUR,2024-09-11 23:41:08
100193,DEPOSIT,926.82,,Bonus performance - 926.82 EUR,2024-09-12 00:18:25
100180,WITHDRAW,39.38,,Prélèvement - 39.38 EUR,2024-09-12 01:39:10
100126,TRANSFER,936.41,100118,Paiement colocation - 936.41 EUR,2024-09-12 10:59:11
100043,DEPOSIT,434.2,,Virement client - 434.2 EUR,2024-09-12 19:50:10
100056,TRANSFER,553.46,100096,Paiement colocation - 553.46 EUR,2024-09-12 21:05:07
100123,TRANSFER,355.71,100155,Cotisation club - 355.71 EUR,2024-09-12 22:20:31
100107,TRANSFER,559.73,100141,Virement loyer - 559.73 EUR,2024-09-12 22:35:12
100113,WITHDRAW,456.99,,Prélèvement - 456.99 EUR,2024-09-12 22:38:32
100169,WITHDRAW,300.39,,Prélèvement - 300.39 EUR,2024-09-13 01:23:09
100116,DEPOSIT,107.38,,Dépôt salaire - 107.38 EUR,2024-09-13 05:58:13
100091,WITHDRAW,277.3,,Achat en ligne - 277.3 EUR,2024-09-13 06:05:15
100073,DEPOSIT,941.91,,Prime projet - 941.91 EUR,2024-09-13 07:07:40
100010,TRANSFER,766.17,100136,Paiement event - 766.17 EUR,2024-09-13 12:29:12
